section,agnddf_v1_5_10yrs,alt_dust_v1_5_10yrs,alt_roll_mod2_dust_sdf_0_20_v1_5_10yrs,baseline_2snaps_v1_5_10yrs,baseline_samefilt_v1_5_10yrs,baseline_v1_5_10yrs,bulges_bs_v1_5_10yrs,bulges_bulge_wfd_v1_5_10yrs,bulges_cadence_bs_v1_5_10yrs,bulges_cadence_bulge_wfd_v1_5_10yrs,bulges_cadence_i_heavy_v1_5_10yrs,bulges_i_heavy_v1_5_10yrs,daily_ddf_v1_5_10yrs,dcr_nham1_ug_v1_5_10yrs,dcr_nham1_ugr_v1_5_10yrs,dcr_nham1_ugri_v1_5_10yrs,dcr_nham2_ug_v1_5_10yrs,dcr_nham2_ugr_v1_5_10yrs,dcr_nham2_ugri_v1_5_10yrs,descddf_v1_5_10yrs,filterdist_indx1_v1_5_10yrs,filterdist_indx2_v1_5_10yrs,filterdist_indx3_v1_5_10yrs,filterdist_indx4_v1_5_10yrs,filterdist_indx5_v1_5_10yrs,filterdist_indx6_v1_5_10yrs,filterdist_indx7_v1_5_10yrs,filterdist_indx8_v1_5_10yrs,footprint_add_mag_cloudsv1_5_10yrs,footprint_big_sky_dustv1_5_10yrs,footprint_big_sky_nouiyv1_5_10yrs,footprint_big_skyv1_5_10yrs,footprint_big_wfdv1_5_10yrs,footprint_bluer_footprintv1_5_10yrs,footprint_gp_smoothv1_5_10yrs,footprint_newAv1_5_10yrs,footprint_newBv1_5_10yrs,footprint_no_gp_northv1_5_10yrs,footprint_standard_goalsv1_5_10yrs,footprint_stuck_rollingv1_5_10yrs,goodseeing_gi_v1_5_10yrs,goodseeing_gri_v1_5_10yrs,goodseeing_griz_v1_5_10yrs,goodseeing_gz_v1_5_10yrs,goodseeing_i_v1_5_10yrs,greedy_footprint_v1_5_10yrs,roll_mod2_dust_sdf_0_20_v1_5_10yrs,rolling_mod2_sdf_0_10_v1_5_10yrs,rolling_mod2_sdf_0_20_v1_5_10yrs,rolling_mod3_sdf_0_10_v1_5_10yrs,rolling_mod3_sdf_0_20_v1_5_10yrs,rolling_mod6_sdf_0_10_v1_5_10yrs,rolling_mod6_sdf_0_20_v1_5_10yrs,short_exp_2ns_1expt_v1_5_10yrs,short_exp_2ns_5expt_v1_5_10yrs,short_exp_5ns_1expt_v1_5_10yrs,short_exp_5ns_5expt_v1_5_10yrs,spiders_v1_5_10yrs,third_obs_pt120v1_5_10yrs,third_obs_pt15v1_5_10yrs,third_obs_pt30v1_5_10yrs,third_obs_pt45v1_5_10yrs,third_obs_pt60v1_5_10yrs,third_obs_pt90v1_5_10yrs,twilight_neo_mod1_v1_5_10yrs,twilight_neo_mod2_v1_5_10yrs,twilight_neo_mod3_v1_5_10yrs,twilight_neo_mod4_v1_5_10yrs,u60_v1_5_10yrs,var_expt_v1_5_10yrs,wfd_depth_scale0_65_noddf_v1_5_10yrs,wfd_depth_scale0_65_v1_5_10yrs,wfd_depth_scale0_70_noddf_v1_5_10yrs,wfd_depth_scale0_70_v1_5_10yrs,wfd_depth_scale0_75_noddf_v1_5_10yrs,wfd_depth_scale0_75_v1_5_10yrs,wfd_depth_scale0_80_noddf_v1_5_10yrs,wfd_depth_scale0_80_v1_5_10yrs,wfd_depth_scale0_85_noddf_v1_5_10yrs,wfd_depth_scale0_85_v1_5_10yrs,wfd_depth_scale0_90_noddf_v1_5_10yrs,wfd_depth_scale0_90_v1_5_10yrs,wfd_depth_scale0_95_noddf_v1_5_10yrs,wfd_depth_scale0_95_v1_5_10yrs,wfd_depth_scale0_99_noddf_v1_5_10yrs,wfd_depth_scale0_99_v1_5_10yrs
TPM,0.67999105768499,0.6848183305760963,0.5733272674059916,0.6957567720851839,0.7412022886588209,0.6772294134397164,0.43131077493639985,0.41257211733294885,0.4189816562610712,0.4263033219667395,0.5149808887529868,0.5020925843594085,0.7248953922316754,0.36098125884645094,0.4867555370723174,0.44690669544607176,0.5216352782322172,0.618222083963629,0.5596380765646803,0.6892550447158163,0.7353315969321849,0.8201977424466688,0.89644251993548,0.8864218797300304,0.8164050166918857,0.9215882197293035,0.8840904224393797,0.8646523383563619,0.7337387183122828,0.7014438179173708,1.0,0.6912924569039328,0.5323811345228375,0.6643522572500552,0.5587360473282775,0.6766748996444969,0.7898798376840549,0.6934974615942953,0.6566583683323599,0.0,0.7771146910812626,0.7809596627156477,0.8109579929997541,0.7672254322308892,0.6562871221397929,0.4879135951510334,0.6495499121579861,0.5728883085884147,0.5563467185900381,0.5593876951754807,0.5515522365743205,0.5708954281529925,0.5648321450715219,0.682098350620535,0.8303740207520586,0.8660334559524585,0.7092363423290974,0.5673923329074828,0.7663463911917051,0.6772294134397164,0.7079931775433478,0.5818537769317442,0.6237598564146781,0.7660862510607788,0.07002383587885544,0.0949342370016508,0.08461268086154523,0.29562464017934836,0.6335576065043059,0.7759679879431097,0.4782103211303406,0.4293921310935102,0.4871013124963822,0.5137114273271028,0.500490636462597,0.5209870973967093,0.8032266142073259,0.5035597613957603,0.5767784132107974,0.6281002644071276,0.7230741435364255,0.6465205937851796,0.6820166984148919,0.6980147796224406,0.7422141498933412,0.7592446417108837
LS,0.15939128746201056,0.31151195732537623,0.2784138562016572,0.20486445934459785,0.20279226596957128,0.19976130722907862,0.22539042370574908,0.21408124690196112,0.2151075873755767,0.23093096082865655,0.22709926223338084,0.23063663862299671,0.20157762950653324,0.17575385672171787,0.18942584364583806,0.19854042826051338,0.1740825873900679,0.2218746201072295,0.24705633704286972,0.1938891889094392,0.07169080953090097,0.13059440662108862,0.01427121291407942,0.13603268848567546,0.16080895129649614,0.18786110919023766,0.09612993003149804,0.15872366377982097,0.1770769437027298,0.20863771489842015,0.1893913011385594,0.3537351348294065,0.255994468192871,0.08123710674356224,0.17221241975937046,0.26188332102188205,0.25692371672436837,0.17488565769319175,0.22687825559761512,0.22261175593818716,0.12358194410241431,0.1325530619049576,0.11989659495844562,1.0,0.1972978514498819,0.1814408534450237,0.31163376190865083,0.2368690234231221,0.24732684130388466,0.2725325880778796,0.2835620513941272,0.33866689333244954,0.3054387464002766,0.21014262579525378,0.18041471439130233,0.17926441999853623,0.19792491699524514,0.16932579458219216,0.2008429794480754,0.19976130722907862,0.1923346264520856,0.7506075674838583,0.17473206256295312,0.19462357263220065,0.30339949052351767,0.23371358276349175,0.18129412697612562,0.21107977990891827,0.21325376922570644,0.0,0.21462123774977382,0.3208945128532553,0.19984126582229375,0.24418249606192755,0.19071455177198374,0.1998592334696884,0.18179669383706837,0.20847217542145105,0.15983646892879697,0.17248813454559028,0.18649995026524846,0.19280303721940675,0.1330563759488642,0.15470827759514047,0.1684699156261717,0.20893450072472425
CI,0.455847416899785,0.3923670205055191,0.382930639561937,0.3652947732002287,0.5500831251573796,0.45199520334551485,0.3361418064887998,0.3197217725580769,0.33622799125937597,0.3195857761427749,0.3198865002904195,0.32299880683364823,0.4236826309790861,0.4888244295399023,0.4862314018816265,0.4774979526310539,0.5099809954001518,0.5213264189362705,0.49602803135372087,0.4598262998426653,0.5225869222103562,0.5379547863218394,0.4539379061987244,0.6281829073369151,0.3557674744243212,0.5810407118320022,0.5171745967701588,0.4650858160941246,0.4302343665696852,0.4554115744907543,0.5357200007346273,0.5129412799792956,0.3551107166002771,0.44118905604977665,0.4009726321601381,0.34066313767953665,1.0,0.45062758775939593,0.4609899436489512,0.3366333053780055,0.48969645604845596,0.4814620984841415,0.48545821766522884,0.47330960933448835,0.42441861996123725,0.45901968582613784,0.37729178731021346,0.4391813027304206,0.4412823988585511,0.44715065607940796,0.44550687214027945,0.4697046145596245,0.4560158069573006,0.3997909835137273,0.43844906495594466,0.30896531880217576,0.47581090061552184,0.45037603127971326,0.4730240285745149,0.4519931607288442,0.4466360770581389,0.4566117665463962,0.46438489434979185,0.46711501307389874,0.0,0.2885004949741172,0.3724639390281062,0.3985248446246956,0.2883426151007818,0.48357412090460056,0.34075943686167587,0.3135264330072222,0.3811995028108396,0.3456255628120373,0.41204387584936025,0.36706432721866744,0.4309385881675976,0.39397854053335285,0.47076509462412447,0.43191638335887506,0.49481070770921454,0.4550065409141391,0.5259853516696669,0.48450427707334054,0.5573739635848785,0.5013682538976253
